2026-08-12 00:06:53,395 | INFO | y2h_ppi | protein_disjoint_split.py:75 | Assertion PASSED: C3 protein-disjoint leakage test strictly verified (0 overlapping proteins).
2026-08-12 00:06:58,046 | INFO | y2h_ppi | hub_baseline.py:24 | Fitted Hub/Degree baseline on training network with 2702 unique nodes (max degree: 155).
2026-08-12 00:07:09,346 | INFO | y2h_ppi | report_generator.py:22 | Saved evaluation report JSON to reports\evaluation_report.json
2026-08-12 00:07:09,347 | INFO | y2h_ppi | report_generator.py:62 | Saved evaluation report Markdown to reports\evaluation_report.md
2026-08-12 00:07:09,348 | INFO | y2h_ppi | pipeline.py:115 | === Phase 5 Checkpoint PASSED ===
2026-08-12 00:07:31,495 | INFO | y2h_ppi | cli.py:55 | Executing Phase 6: Explainability
2026-08-12 00:07:32,694 | INFO | y2h_ppi | pipeline.py:15 | === Phase 6 Execution Started: Explainability ===
2026-08-12 00:08:06,557 | INFO | y2h_ppi | cli.py:55 | Executing Phase 6: Explainability
2026-08-12 00:08:07,689 | INFO | y2h_ppi | pipeline.py:15 | === Phase 6 Execution Started: Explainability ===
2026-08-12 00:08:34,818 | INFO | y2h_ppi | cli.py:55 | Executing Phase 6: Explainability
2026-08-12 00:08:35,984 | INFO | y2h_ppi | pipeline.py:15 | === Phase 6 Execution Started: Explainability ===
2026-08-12 00:09:05,619 | INFO | y2h_ppi | cli.py:55 | Executing Phase 6: Explainability
2026-08-12 00:09:06,809 | INFO | y2h_ppi | pipeline.py:15 | === Phase 6 Execution Started: Explainability ===
2026-08-12 00:09:09,458 | INFO | y2h_ppi | pipeline.py:49 | === Phase 6 Checkpoint PASSED ===
2026-08-12 00:09:22,484 | INFO | y2h_ppi | cli.py:61 | Executing Phase 7: Inference Engine Verification
2026-08-12 00:09:23,634 | INFO | y2h_ppi | predictor.py:120 | === Phase 7 Execution Started: Inference Engine Verification ===
2026-08-12 00:09:24,586 | INFO | y2h_ppi | predictor.py:32 | Loaded predictor model from data\processed\saved_models\random_forest.joblib
2026-08-12 00:09:51,687 | INFO | y2h_ppi | cli.py:61 | Executing Phase 7: Inference Engine Verification
2026-08-12 00:09:52,876 | INFO | y2h_ppi | predictor.py:115 | === Phase 7 Execution Started: Inference Engine Verification ===
2026-08-12 00:09:53,887 | INFO | y2h_ppi | predictor.py:32 | Loaded predictor model from data\processed\saved_models\random_forest.joblib
2026-08-12 00:09:54,024 | INFO | y2h_ppi | predictor.py:128 | === Phase 7 Checkpoint PASSED ===
2026-08-12 00:10:40,309 | INFO | y2h_ppi | predictor.py:32 | Loaded predictor model from data\processed\saved_models\random_forest.joblib
2026-08-12 00:10:40,474 | INFO | y2h_ppi | protein_disjoint_split.py:17 | Partitioned 100 proteins into P_train (80) and P_heldout (20).
2026-08-12 00:10:40,479 | INFO | y2h_ppi | protein_disjoint_split.py:68 | Dataset split counts: Train Pairs=24, C1 Test=2, C2 Test=13, C3 Test=1.
2026-08-12 00:10:40,480 | INFO | y2h_ppi | protein_disjoint_split.py:75 | Assertion PASSED: C3 protein-disjoint leakage test strictly verified (0 overlapping proteins).
2026-08-12 00:10:58,247 | INFO | y2h_ppi | cli.py:73 | Executing Phase 9: Testing & Documentation
2026-08-12 00:10:58,258 | INFO | y2h_ppi | report_generator.py:114 | Generated model_card.md and limitations.md.
2026-08-12 00:29:43,503 | INFO | y2h_ppi | predictor.py:35 | Loaded predictor model from data\processed\saved_models\random_forest.joblib
2026-08-12 00:29:44,439 | INFO | y2h_ppi | protein_disjoint_split.py:17 | Partitioned 100 proteins into P_train (80) and P_heldout (20).
2026-08-12 00:29:44,443 | INFO | y2h_ppi | protein_disjoint_split.py:68 | Dataset split counts: Train Pairs=24, C1 Test=2, C2 Test=13, C3 Test=1.
2026-08-12 00:29:44,444 | INFO | y2h_ppi | protein_disjoint_split.py:75 | Assertion PASSED: C3 protein-disjoint leakage test strictly verified (0 overlapping proteins).
2026-08-12 00:29:44,448 | INFO | y2h_ppi | protein_disjoint_split.py:17 | Partitioned 100 proteins into P_train (80) and P_heldout (20).
2026-08-12 00:29:44,453 | INFO | y2h_ppi | protein_disjoint_split.py:68 | Dataset split counts: Train Pairs=24, C1 Test=2, C2 Test=13, C3 Test=1.
2026-08-12 00:29:44,453 | INFO | y2h_ppi | protein_disjoint_split.py:75 | Assertion PASSED: C3 protein-disjoint leakage test strictly verified (0 overlapping proteins).
2026-08-12 00:29:44,453 | INFO | y2h_ppi | protein_disjoint_split.py:17 | Partitioned 100 proteins into P_train (80) and P_heldout (20).
2026-08-12 00:29:44,458 | INFO | y2h_ppi | protein_disjoint_split.py:68 | Dataset split counts: Train Pairs=24, C1 Test=2, C2 Test=13, C3 Test=1.
